40,30
31,40
44,30
31,50
35,53
36,30
52,11
46,50
33,50
28,30
91,47
32,46
32,54
29,39
26,44
15,64
46,2
15,96
33,45
34,45
28,43
27,42
29,44
39,54
31,53
35,46
46,41
16,55
39,52
32,56
36,48
28,54
46,37
27,30
36,46
32,71
37,53
31,36
3,23
32,49
24,49
18,62
37,52
86,69
35,43
16,45
15,88
19,66
46,49
46,39
8,52
23,53
34,53
69,56
77,19
77,71
46,48
33,40
40,82
40,54
21,54
34,46
16,61
35,39
30,51
16,49
25,50
99,67
16,58
29,17
16,44
11,73
46,61
24,62
99,45
34,62
46,45
60,75
13,27
16,56
28,102
46,59
16,47
50,13
37,30
33,43
26,62
29,49
77,32
16,37
38,30
35,48
36,62
46,53
30,39
43,97
10,44
31,51
34,51
3,44
42,62
46,26
46,38
49,44
33,37
28,62
32,48
36,43
37,54
31,62
32,62
84,98
46,44
37,51
40,53
25,62
16,38
32,36
36,51
31,55
31,37
70,58
31,38
12,83
34,38
27,48
30,49
45,30
23,49
62,11
27,43
35,50
30,43
34,30
31,35
11,84
30,44
34,48
32,55
83,80
17,62
46,28
30,45
46,43
5,77
23,54
21,30
28,53
35,44
34,43
35,45
38,51
33,48
39,53
99,99
46,42
91,18
20,62
46,33
36,52
16,48
26,50
16,59
55,95
89,23
28,39
29,41
29,43
39,30
36,47
35,30
33,30
26,48
2,6
28,50
85,27
52,32
28,49
31,43
25,53
46,57
11,97
28,41
20,30
44,62
26,52
36,49
29,52
31,30
32,39
25,30
1,8
64,33
27,46
16,51
39,13
32,43
37,48
43,72
27,39
46,62
30,37
83,50
33,62
29,45
26,49
32,85
16,62
19,30
25,48
16,32
46,56
31,48
43,86
23,62
28,51
80,98
33,47
26,24
37,22
29,21
34,47
45,62
16,39
29,50
47,3
75,62
30,36
16,52
89,93
46,58
33,44
32,51
29,40
46,34
26,43
38,53
23,52
25,84
28,47
17,98
46,12
38,48
46,47
30,62
32,41
83,59
74,76
30,55
34,41
37,49
33,18
87,25
80,10
46,32
29,53
30,54
81,4
65,18
60,15
41,62
19,62
32,44
38,62
82,73
16,60
30,30
4,101
72,101
30,89
16,34
16,35
6,40
38,52
26,30
7,22
33,51
73,57
33,38
23,30
28,48
29,48
30,41
58,69
30,40
30,47
89,74
2,71
0,40
23,74
31,46
37,67
27,45
37,50
27,53
16,42
30,38
41,65
16,3
25,44
33,54
36,50
40,72
16,40
12,28
25,47
46,55
36,44
79,100
24,48
28,45
18,30
16,46
99,42
29,47
100,87
99,51
29,38
16,41
34,44
41,16
42,30
33,53
27,44
29,51
27,51
35,52
94,7
16,33
0,52
32,38
66,23
87,43
17,16
32,53
48,68
25,52
35,42
16,54
25,49
31,57
15,83
73,50
25,54
32,52
34,42
32,42
24,54
46,51
32,45
24,53
44,80
42,22
49,54
46,31
33,41
24,52
33,49
31,47
37,47
96,5
30,50
30,57
38,54
23,87
35,98
46,60
9,11
31,39
33,46
31,42
33,42
32,47
31,56
6,61
59,10
22,54
31,44
46,36
34,54
27,68
32,57
39,49
16,31
97,14
71,10
10,49
27,54
26,94
50,102
18,3
30,53
27,47
34,52
5,7
15,81
21,62
27,62
11,92
32,37
32,50
29,46
59,64
83,14
9,86
57,55
26,51
26,47
27,50
29,30
26,53
30,56
41,30
76,81
12,74
30,48
71,16
35,51
28,42
9,19
46,40
33,39
29,54
16,50
16,57
43,30
29,37
33,52
28,44
46,52
16,53
32,40
31,41
34,50
30,52
16,30
49,1
92,28
31,95
77,66
31,52
46,30
31,49
39,62
41,54
29,62
30,42
27,52
31,45
46,54
3,76
16,36
46,35
93,36
26,46
32,89
35,47
36,53
36,54
46,46
61,45
43,62
32,30
37,62
22,62
34,49
24,51
37,44
30,46
34,39
25,51
71,24
38,49
17,30
87,74
26,54
67,42
29,42
35,49
52,28
22,30
80,0
55,12
34,19
51,36
24,30
35,62
40,62
15,71
22,53
85,60
27,49
28,52
35,54
28,46
8,102
28,38
16,43
43,84
31,54
